star,sector,std of lc,best period [days] [range 0-1 days],max amplitude [e- s-] [range 0-1 days],average amplitude [range 0-1 days],best period [days] [range .9-5 days],max amplitude [e- s-] [range .9-5 days],average amplitude [range .9-5 days],mean noise level [sigma_amp]
TIC 327587572,19,0.00406765210839427,0.0034082369126038734,0.0002103579765505669,nan,1.8647641244999824,0.0001366329916596681,5.335061548049855e-05,5.564411740534698e-05
TIC 247923021,6,0.01138651391646143,0.004520499876270298,0.0006748387183543869,0.0001666044152787161,1.074925254530715,0.00039772981613907433,0.00015154018792764407,0.00016575006970852117
TIC 247923021,33,0.010691314902922243,0.9085742045704949,0.0006319877108906523,0.00014447920952451488,0.9076387711478956,0.0006348165085027656,0.00014690894034231938,0.0001435842865995987
TIC 149505899,23,0.01038532524993567,0.005134425259072686,0.0006310758081407464,0.0001623687065194525,1.085069895491537,0.0005269384186998253,0.0001747404080355654,0.00016160622737197518
TIC 147921014,14,0.03523687317575198,0.8817738267344012,0.0019498103027764957,nan,0.9882255572038531,0.0013601385535541872,0.000500138143328557,0.0004601547513372792
TIC 147921014,20,0.034954468129897484,0.0030932657311578864,0.0016940404143832323,0.00046857597040533697,1.4026280965910478,0.0009904401424959321,0.0003860113182680531,0.0004666204796041175
TIC 147921014,21,0.03223839080241996,0.008357326630676619,0.0014777892366046627,0.00042128851363504484,1.0694761258658265,0.0009534266982882622,0.0003529920924792866,0.000418315647045285
TIC 471015233,25,0.19081432649525834,0.005562348037823589,0.012878045890561698,nan,1.0334692052531285,0.008056991927642896,0.004017165504561192,0.003222651766665798
TIC 383553764,19,0.00010174208880817758,0.7639256093376636,3.569696314322011e-05,1.3589601845850995e-06,1.25948412873195,6.4098727993412394e-06,2.7419359743270096e-06,1.3959614988414103e-06
TIC 383553764,20,0.00014394183303136494,0.760239038631631,3.984215032469869e-05,1.9016205021181395e-06,0.9377930004953711,7.817903055255549e-06,2.634255106423255e-06,1.921479737687871e-06
TIC 383553764,25,8.762538423521655e-05,0.7556799670785304,1.931459495745472e-05,1.1692482686509367e-06,1.175753594475348,4.846058730388056e-06,1.7864521988170499e-06,1.182936503191636e-06
TIC 166698220,2,0.0001434811552575894,0.8483253062030365,6.331909933502727e-05,1.7863253768782591e-06,0.90207054488786,1.5033949893439132e-05,3.685943040198725e-06,1.8800952712822188e-06
TIC 166698220,3,0.00013315471060474198,0.8456893640410881,5.320435700590662e-05,nan,0.9030121269847281,2.0896932868225946e-05,5.308982919715938e-06,2.0555324884715155e-06
TIC 166698220,29,0.00017221946760280542,0.8460679034365083,5.140611687003146e-05,2.402976522974827e-06,0.9011516414440099,2.2861546571074008e-05,3.817804464858538e-06,2.44075911951022e-06
TIC 166698220,30,0.0001561493061100805,0.8473805891271229,6.314826641844668e-05,2.0520266965395476e-06,0.9552125562858105,1.3043808154816046e-05,3.2866480603989803e-06,2.1358157374843374e-06
TIC 41232189,3,0.0004712505859535477,0.24887512346517382,0.0003612530788575367,2.757555581568086e-06,3.933190439003172,5.77537857200499e-05,1.815768604383748e-05,7.4258683910686e-06
TIC 41232189,6,0.0004696166772666897,0.2491894350535997,0.000344049237507181,2.8790862854006087e-06,1.3561499685728475,1.3668583164856495e-05,7.291437907868375e-06,6.83629974734538e-06
TIC 41232189,9,0.0004915540734529711,0.24891285459869356,0.000378434228917732,nan,1.2871166479665492,2.1181817263463934e-05,7.67524313112605e-06,6.952501519501408e-06
TIC 41232189,10,0.00043711667399034426,0.24872287197353596,0.0003593942527655848,nan,4.1030972573136735,2.430586237775236e-05,1.03487954658325e-05,6.074052383564153e-06
TIC 41232189,13,0.0005155532158510475,0.24892377621458864,0.00037435079591045773,3.929300909515897e-06,0.9912455838020796,2.1951883898828645e-05,1.0197270509964625e-05,6.531936108324138e-06
TIC 41232189,30,0.0004565684762858633,0.2489549939619193,0.0003663840412341241,2.622684476643704e-06,1.0963293384576014,1.1199332576759954e-05,5.049198518981028e-06,6.417742628826327e-06
TIC 41232189,33,0.00048179204365579543,0.24907628332048773,0.00038429023597078335,2.336611003954086e-06,1.0963654461207473,1.1202183060317709e-05,5.1802396599615424e-06,6.4630470201139375e-06
TIC 41232189,36,0.00044125923944888883,0.24872980463461686,0.000330711533674282,2.693179710208876e-06,3.8662424519854466,1.857466875078447e-05,1.0526538226652036e-05,6.288973221923067e-06
TIC 41232189,37,0.000492488034258611,0.24865796598746706,0.0003619149159253675,2.476306434263614e-06,0.9261360217795004,1.1174662334161333e-05,4.7390679281792896e-06,6.948916930677105e-06
TIC 298165335,16,0.00017512622756836536,0.9916950117822924,4.929282302123497e-05,2.442489922609702e-06,0.9919227916102608,4.947259249564281e-05,6.898727337023052e-06,2.497006808859563e-06
TIC 298165335,22,0.00021647950688713995,0.9817409828804305,3.839776870422914e-05,2.839442586607265e-06,0.9819914399571147,3.8573124352838144e-05,7.740588592663082e-06,2.875387278596028e-06
TIC 298165335,23,0.0001831511142658997,0.9733289079559685,4.021074817963607e-05,2.5766723702615428e-06,0.9746849882343058,4.0373852117712465e-05,6.768725325045855e-06,2.6102461194010092e-06
TIC 198456033,14,0.0010323990750786783,0.05370464453802126,0.0005779312798532336,5.8450607204336165e-06,0.9204555038776715,8.070983616699729e-05,2.1892257714130042e-05,1.348126298202969e-05
TIC 198456033,15,0.0010619952345589754,0.053705260934481976,0.0006129702851382908,6.738225405107013e-06,1.6370833321721787,6.979630352951418e-05,2.022581459755962e-05,1.4691869455675598e-05
TIC 198456033,16,0.0010618621206476891,0.05370652628752476,0.0006087077813661247,6.605941473888992e-06,1.0954830322601496,4.228689696370064e-05,1.57708762511673e-05,1.5262345901302962e-05
TIC 198456033,17,0.0010534426106080796,0.053706960270493466,0.0006091551706019589,7.541775608358118e-06,0.9206044591074114,5.8354726806302e-05,1.6878279731499188e-05,1.6024478636673357e-05
TIC 198456033,18,0.0010685632911323181,0.05370347522471367,0.0006157022408911649,6.818567800999124e-06,1.0226073119592343,7.16876446342442e-05,3.1796468787349216e-05,1.575146950427915e-05
TIC 198456033,19,0.0010685291246610037,0.053708648791770376,0.000581296387838884,6.904887928024617e-06,0.9244182310584766,5.076030579840884e-05,1.752062091328903e-05,1.4849354220231393e-05
TIC 198456033,20,0.00105402497394409,0.053708878226071365,0.0005638836358489754,6.772096762489415e-06,0.9246291095079211,5.160826072591141e-05,1.759721365465363e-05,1.4068983934482576e-05
TIC 198456033,21,0.0010490515065143678,0.05370996454475575,0.0005746098144057897,nan,0.9186066222927444,6.12588438074224e-05,1.6713425520328186e-05,1.3667222679478526e-05
TIC 198456033,22,0.0010451130753415896,0.053708446512043,0.0005749902269554344,6.5916088496634e-06,0.9194152011407725,5.460597068650137e-05,1.6776953520673257e-05,1.4335702968772611e-05
TIC 198456033,23,0.0009853253424194457,0.053706620441841955,0.0005244529144193512,7.557070465879014e-06,0.9172285199615997,6.107269345876226e-05,1.3539256995616222e-05,1.426869278069585e-05
TIC 198456033,24,0.0010494731275169566,0.053712569771772765,0.0006140066285499672,6.889736749509666e-06,0.9667074044486469,4.013837556220837e-05,1.7691052210678124e-05,1.4685082756098987e-05
TIC 198456033,25,0.0010624069512183173,0.053710609230839104,0.0005825163838582343,nan,1.6212877961492336,3.739156878355084e-05,1.6265572600039602e-05,1.4339091928704206e-05
TIC 198456033,26,0.0010803776709599109,0.0537111656377495,0.0006089846933693897,nan,1.077716470298073,6.373025075962403e-05,1.914517330586844e-05,1.4711880795756823e-05
