star,available sectors,"number of 
available sectors"
327587572,19,1
247923021,"6,33",2
149505899,23,1
147921014,"14,20,21",3
471015233,25,1
383553764,"19,20,25",3
166698220,"2,3,29,30",4
41232189,"3,6,9,10,13,30,33,
36,37",9
298165335,"16,22,23",3
198456033,"14,15,16,17,18,19,
20,21,22,23,24,25,
26",13
181240911,10,1
165370459,"22,23",2
219752116,24,1
27533327,"14,15",2
39464221,"25,26",2
441120034,"1,28",2
140282069,"5,6,32,33",4
32869782,"6,32,33",3
365653206,"13,39",2
229980646,"10,37",2
219820925,"14,15,16,17,18,20,
21,22,23,24,25,26",12
229945862,"14,15,16,17,18,19,
20,21,22,23,24,25,
26",13
440765193,"7,33",2
8591766,"24,25",2
417544924,"23,24",2
144599609,"4,31",2
207440438,"16,22,23,24,25",5
219094190,"15,16,19,22,24,25",6
233095291,"14,15,16,18,19,20,
21,22,23,24,25,26",12
219114641,"14,15,16,17,18,20,
21,23,24,25,26",11
233067231,"14,15,16,17,18,19,
20,21,22,23,24,25",12
233075513,"14,15,16,17,18,19,
21,22,24,25,26",11
219897252,"14,15,16,18,19,20,
21,22,23,24,25,26",12
233205654,"14,16,17,18,20,
21,23,24,25,26",10
352817378,none,none
135656809,none,none
397558558,none,none
420814525,none,none
54837036,none,none
315627636,none,none
80313923,none,none
75586606,none,none
