Star Name,TIC ID,Spectral Type,"Crowd SAP 
(avg of all 
available sectors)",Sectors Available,Cadence (2 or 30),"Latest sector 
of data",
G191B2B,327587572,DA0,0.9033941,19,,38,
GD71,247923021,DA1,0.79919237,"6,33",,,
GD153,149505899,DA1,0.98672062,23,,,
WD1057+719,147921014,DA1.2,0.8886812133,"14,20,21",,,
WD1657+343,471015233,DA1,0.6312297,25,,,make into overleaf
HD 166205,383553764,A1V,0.99953258,"19,20,25",,,export to csv change commas into &
HD 14943,166698220,A6V,0.996006995,"2,3,29,30",,,
HD 42525,41232189,A0V,0.9998957433,"3,6,9,10,13,30,33,
36,37",,,
HD 128998,298165335,A1V,0.9999556733,"16,22,23",,,
HD 158485,198456033,A3V,0.9995095008,"14,15,16,17,18,19,
20,21,22,23,24,25,
26",,,
HD 101452,181240911,A9mIV,0.99336994,10,,,
HD 116405,165370459,B9V,0.969406545,"22,23",,,
BD+60 1753,219752116,A1V,0.99152565,24,,,
HD 186427,27533327,G2/3V,0.72914806,"14,15",,,
HD 159222,39464221,G1V,0.9981122,"25,26",,,
HD 205905,441120034,G2V,0.99939835,"1,28",,,
HD 37962,140282069,G2V,0.9996815925,"5,6,32,33",,,
HD 38949,32869782,G1V,0.9976471467,"6,32,33",,,
HD 167060,365653206,G2V,0.989678325,13,,,
HD 115169,229980646,G2V,0.98385879,"10,37",,,
HD 163466,219820925,A6V,,"14,15,16,17,18,20,
21,22,23,24,25,26",,,
HD 180609,229945862,A3V,,"14,15,16,17,18,19,
20,21,22,23,24,25,
26",,,
HD 55677,440765193,A4V,,"7,33",,,
P330E,8591766,G2V,,"24,25",,,
P177D,417544924,G2V,,"23,24",,,
C26202,144599609,F8V,,"4,31",,,
SNAP-2,207440438,G2V,,"16,22,23,24,25",,,
1757132,219094190,A3V,,"15,16,19,22,24,25",,,
1812095,233095291,A2V,,"14,15,16,18,19,20,
21,22,23,24,25,26",,,
1808347,219114641,A3V,,"14,15,16,17,18,20,
21,23,24,25,26",,,
1802271,233067231,A3V,,"14,15,16,17,18,19,
20,21,22,23,24,25",,,
1805292,233075513,A1V,,"14,15,16,17,18,19,
21,22,24,25,26",,,
1732526,219897252,A3V,,"14,15,16,18,19,20,
21,22,23,24,25,26",,,
1743045,233205654,A5V,,"14,16,17,18,20,
21,23,24,25,26",,,
LDS749B,352817378,DBQ4,,none,,,
HD 146233,135656809,G2V,,none,,,
HD 106252,397558558,G0,,none,,,
HD 209458,420814525,F8V,,none,,,
HD 142331,54837036,G2V,,none,,,
SF1615+001A,315627636,G1V,,none,,,
HD 2811,80313923,A3V,,none,,,
HD 37725,75586606,A4V,,none,,,
